idDistrito,nameDistrito,zonas_idZona
1,Ancón,1
2,"Santa Rosa",1
3,Carabayllo,1
4,"Puente Piedra",1
5,Comas,1
6,"Los Olivos",1
7,"San Martín de Porres",1
8,Independencia,1
9,"San Juan de Miraflores",2
10,"Villa María del Triunfo",2
11,"Villa el Salvador",2
12,Pachacamac,2
13,Lurín,2
14,"Punta Hermosa",2
15,"Punta Negra",2
16,"San Bartolo",2
17,"Santa María del Mar",2
18,Pucusana,2
19,"San Juan de Lurigancho",3
20,Chosica,3
21,Ate,3
22,"El Agustino",3
23,"Santa Anita",3
24,"La Molina",3
25,Cieneguilla,3
26,Rimac,4
27,"Cercado de Lima",4
28,Breña,4
29,"Pueblo Libre",4
30,Magdalena,4
31,"Jesús María",4
32,"La Victoria",4
33,Lince,4
34,"San Isidro",4
35,"San Miguel",4
36,Surquillo,4
37,"San Borja",4
38,"Santiago de Surco",4
39,Barranco,4
40,Chorrillos,4
41,"San Luis",4
42,Miraflores,4
